os,browser,sample,pcap_status,hash_type,hash,count,rank_within_sample_type,total_rows_for_type_in_sample,percent_within_type,unique_count_for_type_in_sample,confidence,confidence_basis,source_note
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Chrome 148.0.7778.217,Windows11 Chrome,raw inspected clean,JA4,t13d1516h2_8daaf6152771_d8a2da3f94cd,234,1,255,91.76,2,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Chrome 148.0.7778.217,Windows11 Chrome,raw inspected clean,JA4,t13d1517h2_8daaf6152771_b6f405a00624,21,2,255,8.24,2,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Chrome 148.0.7778.217,Windows11 Chrome,raw inspected clean,JA4T,65535_2-1-3-1-1-4_1460_8,303,1,303,100.00,1,high,OS/network-stack fingerprint; identical across all browsers for this OS in corpus,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Chrome 148.0.7778.217,Windows11 Chrome,raw inspected clean,JA4H,ge11nn07enus_bc8d2ed93139_000000000000_000000000000,1,1,1,100.00,1,high,plaintext HTTP JA4H observed with browser UA/HTTP evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Edge 148.0.3967.96,Windows11 Edge,raw inspected clean,JA4,t13d1516h2_8daaf6152771_d8a2da3f94cd,149,1,153,97.39,2,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Edge 148.0.3967.96,Windows11 Edge,raw inspected clean,JA4,t13d1517h2_8daaf6152771_b6f405a00624,4,2,153,2.61,2,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Edge 148.0.3967.96,Windows11 Edge,raw inspected clean,JA4T,65535_2-1-3-1-1-4_1460_8,199,1,199,100.00,1,high,OS/network-stack fingerprint; identical across all browsers for this OS in corpus,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Edge 148.0.3967.96,Windows11 Edge,raw inspected clean,JA4H,ge11nr06enus_cc6ec9a91856_000000000000_000000000000,2,1,3,66.67,2,high,plaintext HTTP JA4H observed with browser UA/HTTP evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Edge 148.0.3967.96,Windows11 Edge,raw inspected clean,JA4H,ge11nn07enus_bc8d2ed93139_000000000000_000000000000,1,2,3,33.33,2,high,plaintext HTTP JA4H observed with browser UA/HTTP evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Firefox 151.0.2,Windows11 Firefox,raw inspected clean,JA4,t13d1617h2_86a278354501_3cbfd9057e0d,63,1,67,94.03,2,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Firefox 151.0.2,Windows11 Firefox,raw inspected clean,JA4,t13d1617h2_86a278354501_e6dcd7ae0a9e,4,2,67,5.97,2,high,exact JA4 extraction; repeated ClientHello fingerprint in this OS/browser sample,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Firefox 151.0.2,Windows11 Firefox,raw inspected clean,JA4T,65535_2-1-3-1-1-4_1460_8,76,1,76,100.00,1,high,OS/network-stack fingerprint; identical across all browsers for this OS in corpus,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Firefox 151.0.2,Windows11 Firefox,raw inspected clean,JA4H,ge11nn07enus_4e2b700e2ae5_000000000000_000000000000,3,1,5,60.00,2,high,plaintext HTTP JA4H observed with browser UA/HTTP evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Windows 11 Enterprise 10.0.26200 build 26200 64-bit,Firefox 151.0.2,Windows11 Firefox,raw inspected clean,JA4H,ge11nn08enus_57c8d565f128_000000000000_000000000000,2,2,5,40.00,2,high,plaintext HTTP JA4H observed with browser UA/HTTP evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Google Chrome 148.0.7778.215,Ubuntu Chrome,clean final,JA4,t13d1516h2_8daaf6152771_d8a2da3f94cd,278,1,282,98.58,2,high,"exact JA4 extraction; repeated ClientHello fingerprint (278 observations, 98.58% within sample)",Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Google Chrome 148.0.7778.215,Ubuntu Chrome,clean final,JA4T,64240_2-4-8-1-3_1460_7,328,1,328,100.00,1,high,OS/network-stack fingerprint; 100.00% within sample and present across 3 browsers on this OS,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Google Chrome 148.0.7778.215,Ubuntu Chrome,clean final,JA4H,ge11nn05enus_6f8992deff94_000000000000_000000000000,3,1,4,75.00,2,high,plaintext HTTP JA4H observed with HTTP/User-Agent evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Google Chrome 148.0.7778.215,Ubuntu Chrome,clean final,JA4H,ge11nn07enus_bc8d2ed93139_000000000000_000000000000,1,2,4,25.00,2,high,plaintext HTTP JA4H observed with HTTP/User-Agent evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Chromium 148.0.7778.167 snap,Ubuntu Chromium,clean final,JA4,t13d1516h2_8daaf6152771_d8a2da3f94cd,245,1,248,98.79,2,high,"exact JA4 extraction; repeated ClientHello fingerprint (245 observations, 98.79% within sample)",Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Chromium 148.0.7778.167 snap,Ubuntu Chromium,clean final,JA4T,64240_2-4-8-1-3_1460_7,287,1,287,100.00,1,high,OS/network-stack fingerprint; 100.00% within sample and present across 3 browsers on this OS,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Chromium 148.0.7778.167 snap,Ubuntu Chromium,clean final,JA4H,ge11nn05enus_6f8992deff94_000000000000_000000000000,2,1,3,66.67,2,high,plaintext HTTP JA4H observed with HTTP/User-Agent evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Chromium 148.0.7778.167 snap,Ubuntu Chromium,clean final,JA4H,ge11nn07enus_bc8d2ed93139_000000000000_000000000000,1,2,3,33.33,2,high,plaintext HTTP JA4H observed with HTTP/User-Agent evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Mozilla Firefox 151.0.2,Ubuntu Firefox,clean final,JA4,t13d1617h2_86a278354501_3cbfd9057e0d,100,1,107,93.46,3,high,"exact JA4 extraction; repeated ClientHello fingerprint (100 observations, 93.46% within sample)",Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Mozilla Firefox 151.0.2,Ubuntu Firefox,clean final,JA4,t13d1617h2_86a278354501_e6dcd7ae0a9e,6,2,107,5.61,3,high,"exact JA4 extraction; repeated ClientHello fingerprint (6 observations, 5.61% within sample)",Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Mozilla Firefox 151.0.2,Ubuntu Firefox,clean final,JA4T,64240_2-4-8-1-3_1460_7,118,1,118,100.00,1,high,OS/network-stack fingerprint; 100.00% within sample and present across 3 browsers on this OS,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Mozilla Firefox 151.0.2,Ubuntu Firefox,clean final,JA4H,ge11nn07enus_4e2b700e2ae5_000000000000_000000000000,2,1,5,40.00,3,high,plaintext HTTP JA4H observed with HTTP/User-Agent evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Mozilla Firefox 151.0.2,Ubuntu Firefox,clean final,JA4H,ge11nr07enus_4e2b700e2ae5_000000000000_000000000000,2,2,5,40.00,3,high,plaintext HTTP JA4H observed with HTTP/User-Agent evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
Ubuntu 24.04.4 LTS 24.04 x86_64,Mozilla Firefox 151.0.2,Ubuntu Firefox,clean final,JA4H,ge11nn08enus_57c8d565f128_000000000000_000000000000,1,3,5,20.00,3,high,plaintext HTTP JA4H observed with HTTP/User-Agent evidence; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
macOS 26.3 build 25D125 x86_64,Chrome 147.0.7727.138,macOS Chrome,raw strict target-IP capture on utun4,JA4T,65535_2-1-3-1-1-8-4-0_1360_6,390,1,390,100.00,1,high,"OS/network-stack fingerprint; 100% within each macOS browser sample and shared by Chrome, Edge, and Safari in this corpus",Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
macOS 26.3 build 25D125 x86_64,Chrome 147.0.7727.138,macOS Chrome,raw strict target-IP capture on utun4,JA4H,ge11nn07enus_bc8d2ed93139_000000000000_000000000000,1,1,1,100.00,1,high,plaintext HTTP JA4H observed with browser User-Agent; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
macOS 26.3 build 25D125 x86_64,Edge 144.0.3719.115,macOS Edge,raw strict target-IP capture on utun4,JA4T,65535_2-1-3-1-1-8-4-0_1360_6,277,1,277,100.00,1,high,"OS/network-stack fingerprint; 100% within each macOS browser sample and shared by Chrome, Edge, and Safari in this corpus",Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
macOS 26.3 build 25D125 x86_64,Edge 144.0.3719.115,macOS Edge,raw strict target-IP capture on utun4,JA4H,ge11nn07enus_bc8d2ed93139_000000000000_000000000000,1,1,1,100.00,1,high,plaintext HTTP JA4H observed with browser User-Agent; sparse but exact when present,Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
macOS 26.3 build 25D125 x86_64,Safari 26.3,macOS Safari,raw strict target-IP capture on utun4,JA4T,65535_2-1-3-1-1-8-4-0_1360_6,59,1,59,100.00,1,high,"OS/network-stack fingerprint; 100% within each macOS browser sample and shared by Chrome, Edge, and Safari in this corpus",Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
macOS 26.3 build 25D125 x86_64,Safari 26.3,macOS Safari,raw strict target-IP capture on utun4,JA3,ecdf4f49dd59effc439639da29186671,52,1,52,100.00,1,high,"TLS ClientHello JA3 from tshark; useful for Safari here, but Chromium JA3 is fragmented by extension-order randomization",Promoted high confidence browser fingerprint candidate; source capture path omitted from bundled seed data.
